Rank,Title,Rating,Image_URL,Episodes,Dates,Members
1,Sousou no Frieren,9.12,https://cdn.myanimelist.net/r/50x70/images/anime/1015/138006.jpg?s=09c2f2dec5891d8e8fbb9fa3b23c75b4,TV (28 eps),Sep 2023 -,342432
2,Fullmetal Alchemist: Brotherhood,9.09,https://cdn.myanimelist.net/r/50x70/images/anime/1208/94745.jpg?s=7892d01b6c74f1bf945f7a3ff3bb1f6a,TV (64 eps),Apr 2009 - Jul 2010,3262313
3,Steins;Gate,9.07,https://cdn.myanimelist.net/r/50x70/images/anime/1935/127974.jpg?s=cd8506e6d26bad48a78aa985477a55ca,TV (24 eps),Apr 2011 - Sep 2011,2505276
4,Gintama°,9.06,https://cdn.myanimelist.net/r/50x70/images/anime/3/72078.jpg?s=e9537ac90c08758594c787ede117f209,TV (51 eps),Apr 2015 - Mar 2016,614712
5,Shingeki no Kyojin Season 3 Part 2,9.05,https://cdn.myanimelist.net/r/50x70/images/anime/1517/100633.jpg?s=4540a01b5883647ade494cd28392f100,TV (10 eps),Apr 2019 - Jul 2019,2194804
6,Bleach: Sennen Kessen-hen,9.04,https://cdn.myanimelist.net/r/50x70/images/anime/1908/135431.jpg?s=90ea032d3ed39b3093ec6b6dc6be844f,TV (13 eps),Oct 2022 - Dec 2022,500713
7,Gintama: The Final,9.04,https://cdn.myanimelist.net/r/50x70/images/anime/1245/116760.jpg?s=8f52d6ff46ef1233eb9fcd542434221c,Movie (1 eps),Jan 2021 - Jan 2021,142319
8,Hunter x Hunter (2011),9.04,https://cdn.myanimelist.net/r/50x70/images/anime/1337/99013.jpg?s=1838e905a0aa3542a009fbcf78000701,TV (148 eps),Oct 2011 - Sep 2014,2745614
9,Gintama',9.03,https://cdn.myanimelist.net/r/50x70/images/anime/4/50361.jpg?s=b3a061db8c3d42a055d58f9df1f3dac7,TV (51 eps),Apr 2011 - Mar 2012,542599
10,Gintama': Enchousen,9.03,https://cdn.myanimelist.net/r/50x70/images/anime/1452/123686.jpg?s=9691ed28cdfeb56ce6881faf2adbf01e,TV (13 eps),Oct 2012 - Mar 2013,318074
11,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.03,https://cdn.myanimelist.net/r/50x70/images/anime/1160/122627.jpg?s=9b41450e9598d10c97fb4eeb7cca3737,TV (13 eps),Apr 2022 - Jun 2022,878053
12,Ginga Eiyuu Densetsu,9.02,https://cdn.myanimelist.net/r/50x70/images/anime/13/13225.jpg?s=385cedad342e284c5765833ab1cddc1c,OVA (110 eps),Jan 1988 - Mar 1997,313482
13,Fruits Basket: The Final,8.99,https://cdn.myanimelist.net/r/50x70/images/anime/1085/114792.jpg?s=bb4303c0804c9d5ca9fcb30b8f8e6783,TV (13 eps),Apr 2021 - Jun 2021,455411
14,Gintama.,8.98,https://cdn.myanimelist.net/r/50x70/images/anime/3/83528.jpg?s=948f092dd55fb2572f38a0e21f03b642,TV (12 eps),Jan 2017 - Mar 2017,306995
15,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.96,https://cdn.myanimelist.net/r/50x70/images/anime/1279/131078.jpg?s=d6d04a0dcc347ba55e0243b75b0ad5dd,Special (2 eps),Mar 2023 - Nov 2023,561947
16,Gintama,8.94,https://cdn.myanimelist.net/r/50x70/images/anime/10/73274.jpg?s=ed42453c10ba12b03b1600d02725a174,TV (201 eps),Apr 2006 - Mar 2010,1045819
17,3-gatsu no Lion 2nd Season,8.93,https://cdn.myanimelist.net/r/50x70/images/anime/3/88469.jpg?s=becfbf556902bc3501e06a07354b9d76,TV (22 eps),Oct 2017 - Mar 2018,393355
18,Clannad: After Story,8.93,https://cdn.myanimelist.net/r/50x70/images/anime/1299/110774.jpg?s=fcd9db2cfd72c10a2278f483173cfff9,TV (24 eps),Oct 2008 - Mar 2009,1171813
19,Koe no Katachi,8.93,https://cdn.myanimelist.net/r/50x70/images/anime/1122/96435.jpg?s=56d2750d600af93a5d326daec7748cae,Movie (1 eps),Sep 2016 - Sep 2016,2262101
20,Code Geass: Hangyaku no Lelouch R2,8.91,https://cdn.myanimelist.net/r/50x70/images/anime/1088/135089.jpg?s=8228f599281b29c489dfc5a0a5761d0f,TV (25 eps),Apr 2008 - Sep 2008,1742242
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91,https://cdn.myanimelist.net/r/50x70/images/anime/10/51723.jpg?s=27cd24446486572fb64c42a689d38902,Movie (1 eps),Jul 2013 - Jul 2013,235671
22,Jujutsu Kaisen 2nd Season,8.89,https://cdn.myanimelist.net/r/50x70/images/anime/1792/138022.jpg?s=1f89c1e9b9bf47ab767f075edf5d313f,TV (23 eps),Jul 2023 -,688943
23,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,https://cdn.myanimelist.net/r/50x70/images/anime/1776/96566.jpg?s=e1aed468f049dd9444375e9149d33d65,TV (14 eps),Jul 2018 - Oct 2018,192779
24,Monster,8.88,https://cdn.myanimelist.net/r/50x70/images/anime/10/18793.jpg?s=08c4f10a101c3835eeb14ca0715512bd,TV (74 eps),Apr 2004 - Sep 2005,1069039
25,Owarimonogatari 2nd Season,8.88,https://cdn.myanimelist.net/r/50x70/images/anime/6/87322.jpg?s=3e60507a4b6016d83e7433aa4cb7853e,TV (7 eps),Aug 2017 - Aug 2017,390041
26,Violet Evergarden Movie,8.88,https://cdn.myanimelist.net/r/50x70/images/anime/1825/110716.jpg?s=3ad8359182d0b47905f28d0a68683171,Movie (1 eps),Sep 2020 - Sep 2020,580392
27,Kimi no Na wa.,8.84,https://cdn.myanimelist.net/r/50x70/images/anime/5/87048.jpg?s=2bca128fcb9dfd6d0908f3d9986576c6,Movie (1 eps),Aug 2016 - Aug 2016,2671710
28,Kingdom 3rd Season,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1443/111830.jpg?s=a67f547ff56d05b36123d793df962b45,TV (26 eps),Apr 2020 - Oct 2021,96286
29,Bocchi the Rock!,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1448/127956.jpg?s=81e0f14a54c27c6d8046fced1a046f28,TV (12 eps),Oct 2022 - Dec 2022,500862
30,Gintama.: Shirogane no Tamashii-hen,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/12/89603.jpg?s=635cb89402d5d39f43767f3942e91206,TV (12 eps),Jan 2018 - Mar 2018,206984
31,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1670/130060.jpg?s=d6b458f3a59a4c5ae4a2ee526feb690f,Movie (1 eps),Dec 2022 - Dec 2022,226752
32,The First Slam Dunk,8.81,https://cdn.myanimelist.net/r/50x70/images/anime/1745/129284.jpg?s=0a4aa56dd7a19b280e4cdd09aaad81a6,Movie (1 eps),Dec 2022 - Dec 2022,31987
33,Vinland Saga Season 2,8.80,https://cdn.myanimelist.net/r/50x70/images/anime/1170/124312.jpg?s=ea717ad18c8bf0f21078491e981e97a1,TV (24 eps),Jan 2023 - Jun 2023,535364
34,Mob Psycho 100 II,8.80,https://cdn.myanimelist.net/r/50x70/images/anime/1918/96303.jpg?s=b5b51cff7ba201e4f1acf37f4f44e224,TV (13 eps),Jan 2019 - Apr 2019,1482888
35,Kizumonogatari III: Reiketsu-hen,8.79,https://cdn.myanimelist.net/r/50x70/images/anime/1084/112813.jpg?s=db4fcf9c5e229584ca1b04bcebe2c3dc,Movie (1 eps),Jan 2017 - Jan 2017,451247
36,Shingeki no Kyojin: The Final Season,8.79,https://cdn.myanimelist.net/r/50x70/images/anime/1000/110531.jpg?s=3df5ebb6800604dc04c6a6187dd7161b,TV (16 eps),Dec 2020 - Mar 2021,1925280
37,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,https://cdn.myanimelist.net/r/50x70/images/anime/7/81992.jpg?s=6d977383e0b5dc1ba1c122213178e547,TV (10 eps),Oct 2016 - Dec 2016,1172351
38,Hajime no Ippo,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/4/86334.jpg?s=4b3096d30158e251d87c196e56c04e63,TV (75 eps),Oct 2000 - Mar 2002,571262
39,Kimetsu no Yaiba: Yuukaku-hen,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/1908/120036.jpg?s=34065463bac342e6efe8bfdbed5d24de,TV (11 eps),Dec 2021 - Feb 2022,1345876
40,Sen to Chihiro no Kamikakushi,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/6/79597.jpg?s=1f170071bc9a54ce2ba3c0d8c7aa6927,Movie (1 eps),Jul 2001 - Jul 2001,1809755
41,Shingeki no Kyojin: The Final Season Part 2,8.77,https://cdn.myanimelist.net/r/50x70/images/anime/1948/120625.jpg?s=53584a9c479506f8c779fb38b02d1a6d,TV (12 eps),Jan 2022 - Apr 2022,1216360
42,Monogatari Series: Second Season,8.76,https://cdn.myanimelist.net/r/50x70/images/anime/1807/121534.jpg?s=2f42455822fc348ba1fd6c50e94fcce1,TV (26 eps),Jul 2013 - Dec 2013,658909
43,Vinland Saga,8.75,https://cdn.myanimelist.net/r/50x70/images/anime/1500/103005.jpg?s=b21dbd168612f531ce4eec9bd53e272b,TV (24 eps),Jul 2019 - Dec 2019,1441043
44,Cowboy Bebop,8.75,https://cdn.myanimelist.net/r/50x70/images/anime/4/19644.jpg?s=bb1e96eb0a0224a57aa45443eab92575,TV (26 eps),Apr 1998 - Apr 1999,1821296
45,Kingdom 4th Season,8.74,https://cdn.myanimelist.net/r/50x70/images/anime/1566/122794.jpg?s=1dd290c4b0bc3df1083c456064109e2f,TV (26 eps),Apr 2022 - Oct 2022,58233
46,Kusuriya no Hitorigoto,8.73,https://cdn.myanimelist.net/r/50x70/images/anime/1708/138033.jpg?s=d4e90b2101936cdf0002e35ebf5b556b,TV (24 eps),Oct 2023 -,156933
47,Mushishi Zoku Shou 2nd Season,8.73,https://cdn.myanimelist.net/r/50x70/images/anime/9/68095.jpg?s=6025adedafce15a9d2c9363e225241ba,TV (10 eps),Oct 2014 - Dec 2014,260545
48,"""Oshi no Ko""",8.73,https://cdn.myanimelist.net/r/50x70/images/anime/1812/134736.jpg?s=01b78ed332b657214ffb3bae89bdcd31,TV (11 eps),Apr 2023 - Jun 2023,699269
49,Tian Guan Cifu Er,8.73,https://cdn.myanimelist.net/r/50x70/images/anime/1203/139210.jpg?s=a4afe2fd566288b7e257b693a6f5a1bf,ONA (? eps),Oct 2023 -,30237
50,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.72,https://cdn.myanimelist.net/r/50x70/images/anime/1493/124765.jpg?s=5c92c94e226dfebfaa8031696c27754f,TV (12 eps),Jan 2017 - Mar 2017,184350
51,Ashita no Joe 2,8.72,https://cdn.myanimelist.net/r/50x70/images/anime/3/45028.jpg?s=bf58ff0c0759f78bf968a74ec535d0d2,TV (47 eps),Oct 1980 - Aug 1981,49986
